Itrs,Loss,Overall_Acc,Mean_IoU
1425,0.182929,,
1426,0.201239,,
1427,0.260643,,
1428,0.271747,,
1429,0.222170,,
1430,0.381003,,
1431,0.253955,,
1432,0.208667,,
1433,0.248809,,
1434,0.223536,,
1435,0.205356,,
1436,0.397140,,
1437,0.290495,,
1438,0.295575,,
1439,0.224521,,
1440,0.237513,,
1441,0.198305,,
1442,0.217156,,
1443,0.177917,,
1444,0.135293,,
1445,0.353031,,
1446,0.171622,,
1447,0.196347,,
1448,0.377857,,
1449,0.201182,,
1450,0.256811,,
1451,0.319477,,
1452,0.284565,,
1453,0.161666,,
1454,0.340000,,
1455,0.150268,,
1456,0.167324,,
1457,0.442877,,
1458,0.194124,,
1459,0.437060,,
1460,0.205576,,
1461,0.210918,,
1462,0.151157,,
1463,0.335897,,
1464,0.214466,,
1465,0.362443,,
1466,0.136778,,
1467,0.215069,,
1468,0.228290,,
1469,0.237786,,
1470,0.408809,,
1471,0.242253,,
1472,0.253739,,
1473,0.151017,,
1474,0.225313,,
1475,0.209217,,
1476,0.322767,,
